Latitude,Longitude,Altitude,Day_from1899,Date,Time,speed,acceleration,id,Stop
40.031788,116.313926,-96,39566.483125,2008-04-28,11:35:42,0.27041771299953865,0.050611194243016994,432,True
40.03179,116.31392199999999,-98,39566.4831481481,2008-04-28,11:35:44,0.20337195606714134,0.06816283368030723,433,True
40.031788,116.313926,-98,39566.4831712963,2008-04-28,11:35:46,0.20337112505493157,0.10168536256367308,434,True
40.031788,116.313929,-99,39566.4831944444,2008-04-28,11:35:48,0.12771113342501406,0.02602537093375558,435,True
40.031791,116.31393,-99,39566.4832175926,2008-04-28,11:35:50,0.17213891356667624,0.10828348220789999,436,True
40.031791999999996,116.31393,-99,39566.4832407407,2008-04-28,11:35:52,0.055597572513847116,-0.030472053524344747,437,True
40.031791999999996,116.31393,-99,39566.4832638889,2008-04-28,11:35:54,0.0,-0.02779872733223422,438,True
40.03179,116.313925,-99,39566.483287037,2008-04-28,11:35:56,0.24014637783885667,0.24014637783885667,439,True
40.03179,116.31392,-99,39566.4833101852,2008-04-28,11:35:58,0.21285101264810868,0.09277807824610027,440,True
40.031788,116.31391699999999,-99,39566.4833333333,2008-04-28,11:36:00,0.16933544663779565,0.06290973102888951,441,True
40.031787,116.31391200000002,-99,39566.4833564815,2008-04-28,11:36:02,0.21999232077407133,0.13532477692413475,442,True
40.031787,116.313903,-99,39566.4833796296,2008-04-28,11:36:04,0.3831334058923753,0.27313702919882704,443,True
